LevelTrades,True,2019-02-07 15:36:00,1.91,NDRA Long heres to a green tomorrow or Monday
Economist4401,True,2019-02-07 15:03:00,1.9,NDRA
TheMod1,True,2019-02-07 15:01:00,1.9,NDRA i have so much of this stock but its just plain silly down here Ima scoop some more
Economist4401,True,2019-02-07 14:53:00,1.9,NDRA 800000 Ultrasound Units growing at 45 CAGR Co intends to price TAUES system at 40k to 50k
Economist4401,True,2019-02-07 14:41:00,1.87,NDRA more and more risks for MRI could works well for Endra Life tech MRIGuided Tx Strategy Not Superior for Rheumatoid Arthritisphysiciansweeklycommrigu
Economist4401,True,2019-02-07 14:26:00,1.87,NDRA 175 2 21 no meaning Once a solid update hits this could be doubled on the spot Dont forget inst Buying invested 85m at 39
buylocellhi,True,2019-02-07 14:23:00,1.87,NDRA lets see how far down the mms are willing to gogreedy bashtards
Cafunk,True,2019-02-07 12:57:00,1.879,NDRA Chalking it up to bad day in the market
pratikpatel614,True,2019-02-07 12:55:00,1.879,NDRA back to 175 and then maybe 150 maybe Ill add
whaaaaaaaat,True,2019-02-07 12:38:00,1.888,NDRA that hold the two dollar mark guy quit
BlazerD,True,2019-02-07 12:36:00,1.888,NDRA cant get some green days without getting slapped with 7 red days after
buylocellhi,,2019-02-07 12:28:00,1.878,NDRA IART was 150 in 199899 I owned 10k shares and off course sold too early similar names good omen
buylocellhi,,2019-02-07 12:08:00,1.855,NDRA mms are trolling for cheapies tutes always have more info on cos progress timeline etc thats just a fact of life
buylocellhi,,2019-02-07 11:42:00,1.899,NDRA the offering at 390 got bought up with no hesitation also didnt they have an over allotment of an extra 1m shares that also sold
buylocellhi,,2019-02-07 10:22:00,1.92,NDRA bounce until we get the data you either by the fear or you sell it
buylocellhi,,2019-02-07 10:21:00,1.92,NDRA we should all get ready for another painful walk down I mentioned this a a few weeks ago The only issue this time is it may not
Tdc1,True,2019-02-07 09:52:00,1.94,NDRA
