Oshaberi_owarida,,2019-02-07 15:29:00,0.2686,CGIX Should i now be worried considering im 8 percent down
Tarquinius,True,2019-02-07 15:06:00,0.2748,CLD CGIX AAPL GOOG Goldman just filed 6M share purchase of CLD Earnings coming up soon Buyout potential Blast off
Firefighter5800,True,2019-02-07 14:54:00,0.2744,CGIX Im still in the green at a 24 avghow about you
OneLad,,2019-02-07 14:53:00,0.2748,CGIX is worthless as its management Worthless like a common Toilet Paper at moment Idi Amin would say Sht stock httpswwwyoutubecomwatchvRw6lPejeZKI
erice579,True,2019-02-07 14:48:00,0.2749,CGIX Combined Insider and Institution nearly 27 million shares held out of 54 million os Thats amazing
erice579,True,2019-02-07 14:48:00,0.2744,CGIX Combined Insider and Institution nearly 27 million shares held out of 54 million os Thats amazing
MemeHub,,2019-02-07 14:16:00,0.2778,CGIX Anyone have lvl 2 please
TraderNublet,True,2019-02-07 14:14:00,0.278,CGIX pretty strong support at around 27
erice579,,2019-02-07 13:59:00,0.273,MNGA Im spread across RGSE TTNP CPST and heavy CGIX
erice579,,2019-02-07 13:59:00,0.278,MNGA Im spread across RGSE TTNP CPST and heavy CGIX
erice579,True,2019-02-07 13:46:00,0.2701,MNGA Afternoon watchlist TENX CPST APND CRON CGIX RGSE TTNP good luck rough couple days
Katclamar,True,2019-02-07 13:15:00,0.2681,CGIX get in because next Thursday your going to love this company not because its Valentines Day
Katclamar,True,2019-02-07 13:15:00,0.2714,CGIX get in because next Thursday your going to love this company not because its Valentines Day
bricktop77,True,2019-02-07 13:05:00,0.2681,CGIX waking up slowly
bricktop77,True,2019-02-07 13:05:00,0.273,CGIX waking up slowly
TheLoneWhiteWolf,,2019-02-07 12:42:00,0.273,CGIX Give me my 265
MemeHub,True,2019-02-07 12:32:00,0.2763,CGIX Could be wrong but I believe we are due for another spike soon Markets are red So either tomorrow or next week hopefully
bricktop77,True,2019-02-07 12:20:00,0.2724,CGIX im looking to average down lets go
Link215,True,2019-02-07 12:18:00,0.277,CGIX gap time again
jformo,,2019-02-07 12:16:00,0.2725,CGIX volume picking up
Nicklis_J_Ferguson1,,2019-02-07 12:10:00,0.2772,CGIX 1 by EOD guaranteed
bricktop77,True,2019-02-07 12:09:00,0.277,CGIX im holding strong patience aka paytience
erice579,True,2019-02-07 12:08:00,0.2752,CGIX holding strong during stock market blood bath
Buster97,True,2019-02-07 11:48:00,0.2754,CGIX have faith Do your own DD
TheLoneWhiteWolf,,2019-02-07 11:45:00,0.2799,CGIX Got a starter position 65k at 2750 someone sell me there shares
King_Biotech,True,2019-02-07 11:38:00,0.2762,CGIX 105k BID at 275
ChartMill,,2019-02-07 11:30:00,0.2731,CGIX has a bad technical rating but it does show a decent setup pattern chartmillcomanalyzephpu
jdill,,2019-02-07 11:21:00,0.278,CGIX wheres the volume today
jnndvn,True,2019-02-07 11:09:00,0.2731,RGSE CGIX isnt moving yet but BUY Its at 27 No volume yet jump on it Cancer
OneLad,,2019-02-07 11:06:00,0.28,CGIX Another day another wasted 8 hrs of PENNY UP PENNY DOWN Gorgeous outside folks Unless youre getting paid per post I understand
OneLad,,2019-02-07 11:06:00,0.275,CGIX Another day another wasted 8 hrs of PENNY UP PENNY DOWN Gorgeous outside folks Unless youre getting paid per post I understand
vacquita,,2019-02-07 10:59:00,0.28,SLDB scalped CGIX 300 price target added httpselitefinvizcompublish020719CGIXw105638570ipng
vacquita,,2019-02-07 10:59:00,0.2783,SLDB scalped CGIX 300 price target added elitefinvizcompublish02
erice579,True,2019-02-07 10:44:00,0.2804,CGIX Fun Facts
brube,,2019-02-07 10:29:00,0.2802,CGIX Insider buying I dont count it if they buy only because the company is in dire need of cash But Im still looking for higher
Tarquinius,,2019-02-07 10:25:00,0.285,CGIX very bullish here going in to earnings This thing is accumulating in textbook fashion with insider buys and earnings coming
TraderNublet,True,2019-02-07 10:17:00,0.279,CGIX looking good always higher lows
King_Biotech,True,2019-02-07 10:17:00,0.279,CGIX Only a matter of time until we see a heavy breakout imo Heavy accumulation lately Patience
erice579,True,2019-02-07 10:05:00,0.2783,MNGA CPST earnings at close today CGIX received a BUY Rating RGSE cautious Hold await Earnings TTNP found ground and steady
B4rising,True,2019-02-07 10:00:00,0.2835,CGIX this would pop only a matter of TIME Also all market indicators are in RED considering We are good and may close green
TraderNublet,True,2019-02-07 09:55:00,0.281,CGIX Every morning theres a dip then it goes upbeen happening for the past few days
Camoman83,True,2019-02-07 09:54:00,0.2776,CGIX hmm another minus day its all good though looks like the channel is a little more confined as long as 27 keeps afloat
erice579,True,2019-02-07 09:48:00,0.2768,CGIX We expect to report quarterly sequential revenue growth and operating cost reductions for Q4 2018
B4rising,True,2019-02-07 09:46:00,0.275,CGIX opportune to buy
B4rising,True,2019-02-07 09:45:00,0.2752,CIFS CGIX Contrarian
LionsFan,,2019-02-07 09:45:00,0.2752,CGIX Looks to be a red boring day today
TraderNublet,,2019-02-07 09:42:00,0.2763,CGIX interesting
