simbha,,2019-03-01 14:01:00,22.78,EXEL I am surprised this is not 22 for Friday Probably next week 23 and closing for OE 22Mar15
jedi_delta,,2019-03-01 12:44:00,22.744,EXEL There is so much more to Cabo If Roches Atezo combo trials read fruitful along w BMYs CM9ER then 2 large Pharmas wbe interested
jedi_delta,,2019-03-01 12:39:00,22.717,EXEL If you include completed studies there are 108 clinicaltrialsgovct2resu
jedi_delta,,2019-03-01 12:37:00,22.705,EXEL Currently there are 67 active studies being done w Cabo by all kinds of hospitals and inst clinicaltrialsgovct2resu
jedi_delta,,2019-03-01 11:55:00,22.56,EXEL Model assumes only linear sales performance Throw in a successful CM9ER data read and this should jump big even wo BO speculation
jedi_delta,,2019-03-01 11:45:00,22.621,EXEL So to get to PJs 48 PT my model suggest Revs 15B PS of 95 and Mkt Cap of 1415B
jedi_delta,,2019-03-01 11:30:00,22.609,EXEL 4Q18 Rev sales was 2286M Subsequent qtrs should come in above 300M w HCC sales Annualized sbe over 12B in sales 2019
quintessenc3,,2019-03-01 11:05:00,22.683,EXEL if a 48 PT isnt enough to cause some movement then what is
quintessenc3,,2019-03-01 11:04:00,22.67,EXEL exelixis just refuses to move Odd
BiotechWIzard,,2019-03-01 10:26:00,22.613,EXEL buy out When will PFE Merck or BMY or Gilead will buy you when
DomLuminous,True,2019-03-01 10:20:00,22.683,EXEL keep buying on weakness
jedi_delta,,2019-03-01 10:11:00,22.668,EXEL Merks mistake was conducting combo trial KN426 with Inlyta and not Cabo Axitinib is a forgotten 2L TKI to Sunit both PFE products
jedi_delta,,2019-03-01 10:07:00,22.612,EXEL PJs reiteration of OW 48 PT is reasonable KN426 data sread through into CM9ER KN426 neither Rx appvd in 1L RCC CM9ERboth are
