OnlyMy2Cents,True,2019-03-01 15:57:00,3.484,CDXC in at 347 cant wait for this to spike
GilYoung,True,2019-03-01 15:27:00,3.488,CDXC dunno whos selling here but thank you very much for increasing my wealth
GilYoung,True,2019-03-01 15:15:00,3.49,CDXC buying here
ramtek57,,2019-03-01 14:01:00,3.49,CDXC ChromaDex management will also attend oneonone meetings with institutional investors throughout the day
ramtek57,,2019-03-01 13:57:00,3.5,CDXC ChromaDex to Present at the 39th Annual Cowen Health Care Conference March 11 investorschromadexcompho
ramtek57,,2019-03-01 13:55:00,3.5,CDXC buy rating streetinsidercomratinghi
ramtek57,True,2019-03-01 13:54:00,3.5,CDXC We are proud to be in business with Nestlé and look forward to a long mutually beneficial relationship
ramtek57,,2019-03-01 13:54:00,3.5,CDXC 6 days to a very big ER
ramtek57,,2019-03-01 13:53:00,3.5,CDXC Q4 2018 Conference Call and ER 030719 at 430 pm upfront payment of 4 million plus commercial milestone payments NHSc
telomerase,,2019-03-01 13:25:00,3.5,CDXC twittercomcharlesmbrenner
Edgar_G,,2019-03-01 11:26:00,3.489,CDXC lots of watchers afraid to hold thru ER might be good opportunity to buy at discount prices right before
Edgar_G,,2019-03-01 11:22:00,3.49,CDXC pretty quiet today here Tims chart looks promising
Tradereversal,,2019-03-01 09:46:00,3.56,CDXC Headed back upshorty you think youre going to stop the next6th spike THINK AGAIN Im buying more
