DividendBot,,2019-02-12 15:48:00,4.452,We have detected 2 negative indicators as of 0212 for ESV More info at dividendbotcomsESV
Berserk74,True,2019-02-12 15:11:00,4.461,CHK SWN ESV NBR CRR Final music of the day Thanks for listening this is Unicorn radio New Life by Bergersen youtubecomwatchvm9N9Mew
Berserk74,True,2019-02-12 14:34:00,4.473,ESV 450 closing plz
Berserk74,True,2019-02-12 14:27:00,4.474,CHK SWN ESV NBR CRR KOS Looks market posing to make final bull move of the day DOW looking promising closing 2545025500
Berserk74,True,2019-02-12 13:39:00,4.495,CHK SWN NBR ESV KOS CRR Looks VIX about to waterfall below 15 later today or sometime tomorrow
Berserk74,True,2019-02-12 13:18:00,4.485,CHK SWN ESV NBR CRR More music from Unicorn radio station Queens Blade by Masaru Yokoyama youtubecomwatchvEDh662i
Berserk74,True,2019-02-12 13:11:00,4.495,CHK SWN ESV NBR CRR At current market strength looks DOW 2440024450 closing today DOW 24450 closing plz
SwingTraderTexas,,2019-02-12 12:41:00,4.476,CHK SWN ESV NE NBR CRR KOS What happens when NOPEC bill is passed The bill is to block OPEC in US
Berserk74,True,2019-02-12 12:22:00,4.461,CHK SWN ESV NBR CRR KOS Looks market gonna make one more leg up move
Berserk74,True,2019-02-12 11:56:00,4.475,CHK SWN ESV NBR CRR Unicorn music box explosion today Empire of Angels by Thomas Bergersen youtubecomwatchvtwCHjRQ
Berserk74,True,2019-02-12 11:33:00,4.435,CHK SWN ESV NBR CRR KOS More music today Journey Through The Victory youtubecomwatchvB8EWfoa
Berserk74,True,2019-02-12 11:21:00,4.462,CHK SWN ESV NBR CRR KOS DOW 300 up so far Dont look like its coming down anytime soon Tomorrow market already looking very green
Berserk74,True,2019-02-12 11:02:00,4.5,ESV Give me 461 plz
Berserk74,True,2019-02-12 10:59:00,4.503,CHK SWN ESV NBR CRR KOS Music Hear The Battle Voice of an Angel by Sybrid youtubecomwatchv02Hk0PX
Berserk74,True,2019-02-12 10:49:00,4.475,CHK SWN ESV NBR CRR KOS Looks market getting ready to go up again
Berserk74,True,2019-02-12 10:27:00,4.5,CHK SWN ESV NBR CRR KOS Looks market catching breath Looking good today Go back up plz
