Flyfishingstocks,True,2019-02-12 15:57:00,17.657,AMRN gap up tomorrow
PghKid1,True,2019-02-12 15:57:00,17.657,AMRN 17661767 support the last hour or so
Novo1,,2019-02-12 15:52:00,17.659,AMRN blocs above 1k even bidask 1767
ONCEINALIFETIME,True,2019-02-12 15:52:00,17.659,AMRN hell of a day screw you bashers
zippy82,True,2019-02-12 15:47:00,17.669,AMRN Might have to wait until tomorrow Pleased as punch with todays run
JTbigfishdream,False,2019-02-12 15:46:00,17.663,AMRN Late afternoon flush they call it folks
Novo1,,2019-02-12 15:43:00,17.701,AMRN movin g toward 7 mil
JTbigfishdream,False,2019-02-12 15:40:00,17.72,AMRN Clay Trader will sort this all out very soon folks
PghKid1,True,2019-02-12 15:36:00,17.718,AMRN accumulation its called
PghKid1,True,2019-02-12 15:30:00,17.69,AMRN 30 in 30 minuets for 1800 close
Novo1,,2019-02-12 15:27:00,17.697,AMRN 17701771 bidask
Novo1,,2019-02-12 15:25:00,17.69,AMRN 63 1769 bidask even
martyt,True,2019-02-12 15:23:00,17.698,AMRN Would love to take some profits but this is to much fun In till the end 50 and more golf and cigars Cheers
PghKid1,True,2019-02-12 15:23:00,17.698,AMRN it wants to go higher
ONCEINALIFETIME,,2019-02-12 15:22:00,17.685,AMRN who the hell employs these idiots
ONCEINALIFETIME,,2019-02-12 15:21:00,17.7,AMRN these pathetic bashers I seriously do not understand how they can even show up here after 223
luis1212,,2019-02-12 15:20:00,17.716,AMRN shorts hahaha
mjr221,,2019-02-12 15:19:00,17.734,AMRN losing steam no strength behind this fake move Still bullish though Buyout 2021
mclim73,,2019-02-12 15:16:00,17.785,AMRN love days like this
JTbigfishdream,False,2019-02-12 15:15:00,17.78,AMRN Folks lets not get to excited about this temporary pop It could plunge at the close or for sure tomorrow
Novo1,,2019-02-12 15:13:00,17.744,AMRN bingo
ONCEINALIFETIME,True,2019-02-12 15:12:00,17.73,AMRN POPPIN
Novo1,,2019-02-12 15:12:00,17.73,AMRN 8k less than 6mil
MiscManiac,True,2019-02-12 15:06:00,17.693,AMRN took half of my shares off the table for some gains today
ONCEINALIFETIME,True,2019-02-12 15:05:00,17.689,AMRN another big script day on Friday and the pps May just pop over 19 this week imo
ONCEINALIFETIME,,2019-02-12 15:03:00,17.674,AMRN ceo buys needs to get better informed before making presumptive claimsthese folks dont know what kind of longs they are dealing with
CEOBuys,,2019-02-12 15:00:00,17.653,Current AMRNs CEO hasnt bought shares at market price since Dec 04 17 Go to ceobuyscom to learn more
no1patfan,True,2019-02-12 14:59:00,17.667,AMRN I dont think I would be going out too far on a limb by saying we may very well get a HOD close
ONCEINALIFETIME,True,2019-02-12 14:59:00,17.667,AMRN AMRN is set to corner the Mkt with their product Genius mgmt team outstanding job getting this far and much more to come
Novo1,True,2019-02-12 14:58:00,17.689,AMRN power hour at hand vol is almost 6 mil still at pricepoint to get in even backing up long haul truck
C_R_E_P,True,2019-02-12 14:50:00,17.665,AMRN if the FDA cracks down on fish oil supplement like they say they would then AMRN stock will soar to new heights
MARTIANTRADES,,2019-02-12 14:50:00,17.665,AMRN intraday bullish flagNobody wants to sell this down so this means its going to pop and squeeze more shorts im guessing
PghKid1,,2019-02-12 14:48:00,17.671,AMRN AH news coming
JTbigfishdream,False,2019-02-12 14:46:00,17.672,AMRN Folks a lot can happen in the next 1 hour and 15 min of trading to go My gut feeling is it will tank last 30 minutes of the trading
ChartMill,,2019-02-12 14:42:00,17.648,LULU AMRN and VNOM are the top gainers for the day chartmillcomstockscreener
MARTIANTRADES,,2019-02-12 14:40:00,17.679,AMRN Volume increasing every day now and broken through a trend lineAnybody know whats happening Looks to be more than just the market
C_R_E_P,True,2019-02-12 14:31:00,17.69,AMRN I believe no BO until FDA apporve expansion Just my gut feeling
avtheaviator,False,2019-02-12 14:23:00,17.697,AMRN 15771775 trend shes dropping back down by close
jb99999,True,2019-02-12 14:12:00,17.672,AMRN
ONCEINALIFETIME,True,2019-02-12 14:11:00,17.655,AMRN somebody knows something
stockguy17,True,2019-02-12 14:06:00,17.642,AMRN lets go 20
ONCEINALIFETIME,True,2019-02-12 14:02:00,17.647,AMRN predicting a power hour run to just under 18
PghKid1,True,2019-02-12 14:01:00,17.68,AMRN
stockguy17,True,2019-02-12 13:57:00,17.719,AMRN want PYX call holders to come here to AMRN bahaha
zippy82,True,2019-02-12 13:57:00,17.719,AMRN Needs another volume push if its going to crack 1800 today
dixiebull,,2019-02-12 13:47:00,17.711,AMRN taking its sweet time getting to 18 geez
Geepersman,True,2019-02-12 13:45:00,17.733,AMRN I see 19 next few days Wouldnt be shorting this right now
FrankMcGill,True,2019-02-12 13:44:00,17.716,AMRN strong break of my line in the sand of 1750 had a decent position going into it but now SUPER BULLISH
rafunrafun,,2019-02-12 13:43:00,17.716,AMRN can someone please post a link to the newly granted obesity patent
Boris8,True,2019-02-12 13:24:00,17.665,AMRN was watching from sidelines but just got in break of 18 could be looming
bambooze40,True,2019-02-12 13:15:00,17.612,AMRN I think we move past 52 wk high in the next 6 months and offers come after that in the 40s Eventually selling in the mid 50s
LetsGoLongs,True,2019-02-12 13:12:00,17.655,AMRN AMRN just woke up from a nap
Levin89,,2019-02-12 12:53:00,17.5,AMRN relax its lunchtime it will go back up around 140 Been doing the same things on positive days for the last couple of years
VascepaBID,,2019-02-12 12:42:00,17.603,AMRN I have a set of shares that I purchased last year under 3 that will mature to long status on 0228 pretty good timing with earnings
Geepersman,True,2019-02-12 12:36:00,17.647,AMRN MACD crossover close Last time 1250 to 18 bucks
JTbigfishdream,False,2019-02-12 12:31:00,17.63,AMRN what goes up must come down Learn to trade folks this is just following the overall market and will be down at the end of the day
mjr221,,2019-02-12 12:27:00,17.68,AMRN losing momentum but still a good day
traderxyz,True,2019-02-12 12:24:00,17.68,AMRN if we dont lose steam we might be able to see 18 eod
VascepaBID,,2019-02-12 12:20:00,17.703,AMRN I like that we got that one guy here who is always complaining about MGMT to stop and breath today
Novo1,,2019-02-12 12:20:00,17.703,AMRN vol 41 mil abv avg not big deal
mjr221,True,2019-02-12 12:15:00,17.682,AMRN its coming back down
jb99999,,2019-02-12 12:14:00,17.679,AMRN broke 1750 that us great sorry BEARS DUH
bambooze40,True,2019-02-12 12:14:00,17.679,AMRN shout out to management I love what theyre doing and where this is going
mjr221,,2019-02-12 12:12:00,17.68,AMRN 1675 close sorry guys
BaaBaa45,True,2019-02-12 12:11:00,17.677,AMRN upgrade on guidance at Q4 CCend Feb Their low ball number is looking far too low in the light of scrips or too early
marketchameleonwins,,2019-02-12 12:06:00,17.723,AMRN Stock Increased 41 to 1759 The Largest Options Open Interest is on the 15Mar19 18 Call with 21696OI marketchameleoncomOvervie
PghKid1,True,2019-02-12 12:05:00,17.739,AMRN
SebrightCapital,True,2019-02-12 12:05:00,17.739,AMRN Trading strong In a few days ago at 1690 I was once short on it made good but this stock is going up
longtermopportunity,True,2019-02-12 12:04:00,17.713,AMRN GILD PFE let them fight it out for the Vascepa prize
AR_BiotechMg,,2019-02-12 12:01:00,17.635,TCON AMRN ready to explode phase 2 data coming soon and so ph 3
stockguy17,True,2019-02-12 11:57:00,17.613,AMRN halt coming
LetsGoLongs,True,2019-02-12 11:55:00,17.6,AMRN Nothing special Lets go
no1patfan,True,2019-02-12 11:54:00,17.58,AMRN The fuse is lit baby burn
myniemakr,True,2019-02-12 11:45:00,17.554,QURE still holding swings AIMT AMRN QURE ROKU MU TWTR CGC STNE Sold TNDM and NBEV for wins Started EA and IQ again
