Motorcitymayhm,False,2019-02-12 15:35:00,1.194,AEMD Crash and now BURNNNNN
jims9999,,2019-02-12 15:15:00,1.16,AEMD So EZ to make money in this stock thanks to all the new bag holders
Gman71,True,2019-02-12 15:05:00,1.16,AEMD you pricks only write when stock goes lower As soon it goes up youre nowhere to be found Idiots
Gman71,True,2019-02-12 14:56:00,1.185,AEMD if its so bad why isnt the stock taking a massive beating like it supposed to I dont see an issue at all here
yedi7,,2019-02-12 14:09:00,1.216,AEMD ER was straightforward as previous CCs If you believe BobBenson you need to get ur brain checked Hes trying to manipulate people
MSD123,,2019-02-12 13:24:00,1.228,AEMD watch it fall to the ground New bag holders in place RS coming right up
Gman71,True,2019-02-12 13:21:00,1.221,AEMD watch last hour of trading today Little heads up
Gman71,True,2019-02-12 13:18:00,1.221,AEMD agree Bob
BobBenson,True,2019-02-12 12:57:00,1.219,AEMD So you day traders freaked out over R being played to get your shares cheap Someone is buying cheap today on fear R U 1 of them
BobBenson,True,2019-02-12 12:56:00,1.219,AEMD Now today was a great day for big smart money to add to their position Your all worried yet there are all these 70000 buy orders
BobBenson,True,2019-02-12 12:51:00,1.206,AEMD Either this company is closing its doors or they are in serious talks with one or more company about acquisition Big money says BO
BobBenson,True,2019-02-12 12:50:00,1.206,AEMD7 Big boys have started adding positions in the company small at this point which showed up but they are adding on every dip
BobBenson,True,2019-02-12 12:49:00,1.206,AEMD 6 Aethlon gets A LOT of attention for the FDA approval to remove cancer from the blood But then NOTHING radio quite for a reason
BobBenson,True,2019-02-12 12:47:00,1.206,AEMD 5 Company last earnings approved issuing 55 million shares to raise money but only sold 05 million at 135 then stopped quickly
BobBenson,True,2019-02-12 12:46:00,1.206,AEMD3 JJ who said he wouldnt sell out was then quietly removed even though he was doing a great job4 Co stopped PR firm
BobBenson,True,2019-02-12 12:44:00,1.206,AEMD 1 FDA approval of Hemopuripifer for cancer treatment2 The board over the past 14 months has been replaced wpeople who sell cos
BobBenson,True,2019-02-12 12:42:00,1.206,AEMD Everyone keeps asking me why why is Aethlon poised for a buyout is that just pumping Let me give some direct points on why
BobBenson,True,2019-02-12 11:08:00,1.23,AEMD Why would a company who only have about 910 months of cash stop selling stock to raise cash WHY We know why dont sell cheap
BobBenson,True,2019-02-12 11:07:00,1.23,AEMD People say that company is going to raise capital Well they approved that last quarter of 5 million shares but only sold a fraction
BobBenson,True,2019-02-12 11:06:00,1.23,AEMD Last quarter the company approved 5 million share sale however they only did a fraction early then stopped quickly Why is that
PoundTownTrader,True,2019-02-12 10:57:00,1.234,AEMD not really the selloff weve seen after previous ERs Maybe this new direction is well received
BigMoneyElmo,True,2019-02-12 10:57:00,1.234,AEMD Doing better than expected but i would not hold long term Its set to drop over time Better to get back in after capital raising
lsmith08,True,2019-02-12 10:17:00,1.286,AEMD
BobBenson,True,2019-02-12 10:05:00,1.238,AEMD The company is working behind the scenes AND does not need to pump use up Suitors know the potential AND VALUE Buying hold strong
BobBenson,True,2019-02-12 10:01:00,1.223,AEMD I said a month ago and got beat up that JAB would buy out COTY Guess what JAB is buying them out Aethlon is ripe within months
tradingmy2cents,True,2019-02-12 10:01:00,1.223,AEMD Key takeaway 2 frm CCnew CEO is wellversed in oncologyfull speed ahead in right directionquick is out but big is still inIMHO
rtornatore13,True,2019-02-12 09:59:00,1.231,AEMD
I2cthelight,True,2019-02-12 09:57:00,1.205,AEMD what an opportunity to utilize the discount and gain the eventual advantage I feel comfortable calm and patient
tradingmy2cents,True,2019-02-12 09:55:00,1.205,AEMD Key takeaway 1 from CCNo predictionunder promiseover deliverimpatient traders are out todaypatient investor will be rewardedIMHO
topstockalerts,True,2019-02-12 09:55:00,1.205,Names to watchMDGS TROX RLGT FRO BRS OPTT AEMD CASM APDN GILT COTY PYX MGI YRIV VECO PTX WORX ADIL AMRH
Feltonvillain,,2019-02-12 09:51:00,1.205,AEMD good luck longs I just dumped my shares That conf call gave me no confidence in any real catalyst Im out
Gman71,True,2019-02-12 09:44:00,1.219,AEMD What did I say yesterday Bunch of no good incompeten losers that trash a stock because of little loss Good work BOB Were going
BobBenson,True,2019-02-12 09:36:00,1.172,AEMD GOOD BYE DAY TRADERS Mostly people left are the investors and BIG BOYS BUYING waiting for the news
TradeIdeasQuant,,2019-02-12 09:30:00,1.227,AEMD tradeideascomtickyticky Ouch that is going to Leave a mark Down 12 for the day
