Xisting4u,True,2019-02-08 15:57:00,1.061,BIOC Cmon go up already
OptimalGeek,True,2019-02-08 15:56:00,1.05,BIOC let it go back to 1 so I can buy 6k more shares
LoOseMoNeY,True,2019-02-08 15:52:00,1.067,BIOC One last time That same scumbag screaming buy was screaming sell me your shares as I lie at 1130 amSCUMBAG
LoOseMoNeY,True,2019-02-08 15:49:00,1.07,BIOC Called it like a pro expose the scumbag and blocked within a few hours Good weekend all
kramz2000,True,2019-02-08 15:44:00,1.075,BIOC so funny when its steady at 100 everyone is a bear and talks smack When they see it moving up all of a sudden their a bull
SwingMeTooSleep,True,2019-02-08 15:39:00,1.062,BIOC glad I sold half my shares yesterday but its time
crazedpoetbull,True,2019-02-08 15:39:00,1.062,BIOC Dont forget highrisk high rewards People these days lack patience Live a little
movingfast77,True,2019-02-08 15:38:00,1.06,BIOC HOPE YOU BOUGHT AT 1 BECAUSE WHEN THEY TURN AROUND AND POST HUGE NEWS YOULL BE BUYING BACK AT 347
mrWOOOO,,2019-02-08 15:38:00,1.06,BIOC hello mrshort pls go away thanks
LoOseMoNeY,True,2019-02-08 15:38:00,1.06,BIOC Already up 7 cents on my ass saving buys
LoOseMoNeY,True,2019-02-08 15:37:00,1.071,BIOC timeismoney2011 See my friend theres plenty here doing what you are doing they just arent scum posting lies while doing so
SwingMeTooSleep,,2019-02-08 15:36:00,1.075,BIOC
timeismoney2011,True,2019-02-08 15:36:00,1.075,BIOC oversold and most bears covered Good luck Bullish Short term Do your own DD Im long from 100101 7K GL
mrWOOOO,True,2019-02-08 15:35:00,1.068,BIOC some of you will regret not getting in with this shit half off lmao
mrWOOOO,True,2019-02-08 15:35:00,1.068,BIOC great bounce off 1 can we see 15 today
LoOseMoNeY,True,2019-02-08 15:34:00,1.065,BIOC timeismoney2011 Follow This shit bag folks You should subscribe if you like Scumbags Liars Maybe TVs too not sure
movingfast77,True,2019-02-08 15:34:00,1.065,BIOC CHANCE TO GET IN AT A BARGAIN
crazedpoetbull,True,2019-02-08 15:34:00,1.065,BIOC Last 30minutes anything can happen bottoms up
LoOseMoNeY,True,2019-02-08 15:33:00,1.062,BIOC timeismoney2011 What about the RS Man isnt it around the corner
