BlueBridge,,2019-06-12 13:51:00,5.108,CVM hope I didnt just throw 5k away in this
stockplays100,True,2019-06-12 13:46:00,5.11,CVM Assume a multiple of 4 X sales which is extremely conservative 22B Fully diluted by all possible shares approx 41M approx a 536 share price Yes that is high but just we are suggesting a more conservative amount of 250 per share
FatNinjaRider,,2019-06-12 13:45:00,5.1,CVM 512 didnt hold
stockplays100,True,2019-06-12 13:44:00,5.109,CVM A buyout is always a possibility Recent buyouts of similar bios have been in the 2B to 12B range as noted above Even at 2B the share price would be about 50 a sharea multimulti bagger
stockplays100,True,2019-06-12 13:36:00,5.148,CVM With a 10 improvement of survival in Multikine Arm we found out that more than 300 events should have occurred as of May 2019 even with 5 of the patients dropping out As the 298th event has not been announced yet we can assume that improvement of survival in Multikine Arm is greater than 10
stockplays100,True,2019-06-12 13:35:00,5.148,CVM The IDMC will meet again in August If 298 events have not yet occurred then it is likely that they will have enough data to make a determination
FatNinjaRider,True,2019-06-12 13:35:00,5.148,CVM 512 appears to be support for today
stockplays100,True,2019-06-12 13:24:00,5.18,CVM At the May 20th Shareholder meeting Mr Kersten again stated we are waiting for the 298 event and we believe there is a clear signal of likely effectiveness A more precise analysis will show that it is very difficult to argue that we should not have reached 298 events yet without significant effectiveness
taz369,True,2019-06-12 13:12:00,5.17,CVM bought 1500s 588 should have waited a few days
Weedkiller420,True,2019-06-12 12:15:00,5.19,CVM shorts are crazy this late in the game Playing with fire All we need is 1 Insider buying 2 Letter to shareholders 3 Analyst coverage 4 IDMC update 5 298 6 Legit buyout chatter All of these are likely at some point and as we have seen CVM will jump 25 in a heart beat on minor news Imagine when BIG news is dropped
PuffyJacket69,,2019-06-12 11:30:00,5.162,CVM I like the blockiness of the price movement It reminds me of the old days when 60k was big volume and no one gave a shit if nazis free speech rights were protected
FatNinjaRider,,2019-06-12 11:04:00,5.194,CVM Where is everyone
FatNinjaRider,,2019-06-12 10:47:00,5.206,CVM Or are we headed back to 470s
FatNinjaRider,True,2019-06-12 10:33:00,5.22,CVM Giant bull flag forming
FatNinjaRider,True,2019-06-12 09:40:00,5.19,CVM longs Hold on hope everyone catches this dip
FatNinjaRider,True,2019-06-12 09:31:00,5.276,CVM Volume out of the gate
