SmallShare,,2019-06-12 15:36:00,66.62,GILD exdiv tomorrow 063 youtubecomwatchv62T5L4
EstimizeAlerts,,2019-06-12 15:28:00,66.668,GILD reported Antiviral Sales last quarter Next report is on 0724 AMC Jury is still out on expectations Whats yoursestimizecomintrogildcha
OceanThunder7,,2019-06-12 14:50:00,66.951,GILD shorts coming in probably because 6746 didnt break Good need more fuel for tomorrow
TrendSpider,,2019-06-12 14:20:00,67.26,GILD Volume concentrated at the top of todays range right near channel resistance above
OceanThunder7,True,2019-06-12 14:07:00,67.331,GILD marketbeatcomstocksNASDAScroll down and look at Q3 Q4 smart money always loads well before takeoff
Ponzi_Cynic,,2019-06-12 13:31:00,67.36,MRNA MRNA has a built in put based on its take out value Dont think for a second GILD isnt looking at MRNA for some growth
EveryTimeICash,,2019-06-12 13:15:00,67.34,GILD If this is gonna break its gonna break big simpletrader1
TrendTraderX,True,2019-06-12 13:13:00,67.384,GILD This is looking like a beast Over 200DMA it should fly back into the 70s
bhall68,,2019-06-12 13:05:00,67.396,GILD good volume I think theyre getting in for the dividend and now shorts are having to start coverI got There is all positive news My 6750 calls have exploded
OceanThunder7,True,2019-06-12 12:33:00,67.373,GILD 310 contracts 70 strike put sold today expiration Friday
OceanThunder7,,2019-06-12 12:21:00,67.367,GILD perfect storm Fed cuts rates Gild growth backMA anytime nowNew guy steering the ship
EstimizeAlerts,,2019-06-12 12:18:00,67.315,Estimize EPS expectations are 249 higher than that of Wall Street for GILD Q2 Reporting 0724 AMCestimizecomintrogildcha
OceanThunder7,,2019-06-12 12:16:00,67.31,GILD rate cuts Gilly sees 90 again
OceanThunder7,,2019-06-12 12:02:00,67.392,GILD wants 68 today lets gooooo
Sunnybahamas,True,2019-06-12 11:57:00,67.407,GILD get your 70 stock for 674
Sunnybahamas,True,2019-06-12 11:56:00,67.424,GILD up 2 while indexes all down
Hagler,True,2019-06-12 11:47:00,67.386,GILD and GLPG are looking good not sure to stay on the high speed train probably trim a bit and see where the train will slow down for reentry
Sunnybahamas,True,2019-06-12 11:39:00,67.327,GILD going back over 100 SP led by Biktarvy 1B a quarter and Yescarta has no competition
Jameth,,2019-06-12 11:30:00,67.365,GILD Guess where this be very soon 63 or 64 range
Sunnybahamas,True,2019-06-12 11:29:00,67.346,GILD gerogegobroke What happened to georgegobose off to Antartica
OceanThunder7,,2019-06-12 11:25:00,67.305,TEVA Buffet boys should buy GILD
pens1983,,2019-06-12 11:19:00,67.372,GILD How much of GLPG does GILD own
OceanThunder7,True,2019-06-12 11:10:00,67.246,GILD Monthly moving averages 100 month 6735 and 10 month 6744 get through should have enough steam to get through 200 day averages just above
OceanThunder7,True,2019-06-12 10:55:00,67.288,GILD GLPG ODay did speak a lot about Rheumatoid arthritis Filgotinib 10 indications and phase3 Reading between the line its a probable target soon
FINRA_Narc,True,2019-06-12 10:54:00,67.305,GILD Lets hit past that 70 baby
DomLuminous,True,2019-06-12 10:34:00,67.036,GILD notice its moving up on GLPG News they are the true winner Price lag or GILD will make a move and take them out finally
OceanThunder7,True,2019-06-12 10:24:00,67.23,GILD finally weekly bullish now monthlies go bullish at 7225 and then eighties come quick Need some MA
GalaxyBrainCapMgmt,,2019-06-12 10:22:00,67.112,GILD PFE HOD
OceanThunder7,True,2019-06-12 10:07:00,66.668,GILD we are going over 70 its time
OceanThunder7,True,2019-06-12 09:51:00,66.968,GILD 6768 many moving averages We breakout its going to be fun
OceanThunder7,True,2019-06-12 09:46:00,66.988,GILD weeklies go bullish at 6712 first time since January 2019
OceanThunder7,True,2019-06-12 09:41:00,67.047,GILD 200 day EMA 6784 last time crossed was October 2018 lets goooooo
Sunnybahamas,True,2019-06-12 09:38:00,66.938,GILD The American Cancer Society estimated that there were 5960 new cases of ALL and 1470 deaths due to ALL in the US in 2018 medcitynewscom201906gil
OceanThunder7,,2019-06-12 09:32:00,66.723,GILD 67 coming up today
OceanThunder7,True,2019-06-12 09:31:00,66.637,GILD 95k shares at open
