bramsal,,2019-06-10 15:58:00,28.076,BAC wow quite the fade down thinking might bounce
PeterPumpkinEater69,,2019-06-10 15:57:00,28.053,BAC relentless
jdcalls1,,2019-06-10 15:57:00,28.053,BAC close at 20 day VWAP Or lower Currently 31 sellers
jdcalls1,,2019-06-10 15:48:00,28.142,BAC Short cover raised price Late bulls panic sell lowers price Cutthroat Mrkt
jdcalls1,,2019-06-10 15:42:00,28.198,BAC headed for the 2782 gap
daviddaubner,,2019-06-10 15:36:00,28.233,Top Most Active SP500 Stocks today AMD GE BAC F CRM source finscreener
rod00,True,2019-06-10 15:34:00,28.238,BAC 2820 is having a hard time watch this fight the bears against the bulls
rod00,True,2019-06-10 15:26:00,28.222,BAC looking at that 2820 might hold and go back up
jdcalls1,,2019-06-10 15:26:00,28.222,BAC write the 27 call for the ride down 5 cnt prem 27 for next week
rod00,True,2019-06-10 15:16:00,28.25,BAC looking at that 2815 will hold to go back up
jdcalls1,,2019-06-10 15:07:00,28.27,BAC shadow high is bull trap Late buyers wexhausted short cover
lucidluis_,True,2019-06-10 14:39:00,28.373,BAC eyeing some calls hopefully my order fills by end of day
jdcalls1,,2019-06-10 14:08:00,28.355,BAC full candle bear trap Gap up in morning
jdcalls1,,2019-06-10 14:07:00,28.355,BAC short covering exhausted wbulls buying if close with shadow high
cazwiz,,2019-06-10 13:46:00,28.404,BAC jumped back in with 50 614 29 calls 09 and 50 628 30 calls 11 If it pulls back may double up on 30 calls
emeraldbayrider,,2019-06-10 13:23:00,28.44,BAC Sold out Fridays 27k shares 2755 w ave up 23219 Ready for the brilliant not short dweebs here to gift trade 29 this yr to me at 28 now walking it up en route to 35 by year end
up8467,,2019-06-10 13:23:00,28.44,BAC MAMA told me there would be days like this
Whitefish,True,2019-06-10 13:13:00,28.41,BAC come to NDRA for a great riskreward
rod00,True,2019-06-10 12:39:00,28.376,BAC This a hard call I did see a put coming soon But this have to break the 2815 for me too think more on a barish BUT for right now bulish ps I got to go get a shot of drink
SunAndStorm,,2019-06-10 11:50:00,28.392,INTC BAC Both my Canaries are in up trends as are the overall market SPY and the tech market XLK See blog link at top for discussion of these signals BAC is perking up strongly today on a bit of a rate bounce 1
PeterPumpkinEater69,True,2019-06-10 11:28:00,28.375,BAC if we can get thru here we could see a nice gap up
EstimizeAlerts,,2019-06-10 11:21:00,28.434,BAC estimates distribution heres what 42 Estimize analysts are expecting BAC to report for Q2 Reporting 0717 BMOestimizecomintrobacchar
EstimizeAlerts,,2019-06-10 11:21:00,28.434,BAC reported 2358M FICC Trading Revenue last quarter Next report is on 0717 BMO Jury is still out on expectations Whats yoursestimizecomintrobacchar
EstimizeAlerts,,2019-06-10 11:21:00,28.434,BAC reported 1264M Investment Banking Revenue last quarter Next report is on 0717 BMO Jury is still out on expectations Whats yoestimizecomintrobacchar
EstimizeAlerts,,2019-06-10 11:21:00,28.434,BAC reported 1192M Equities Trading Revenue last quarter Next report is on 0717 BMO Jury is still out on expectations Whats yourshttpwwwestimizecomintrobaccharthistoricalmetricnameequitiestradingrevenueutmcontentBACutmmediummetricreportdateutmsourcestocktwits
rock45690,,2019-06-10 11:13:00,28.458,BAC 210 spread widening a bit but not deserving of 33
Savvy29,,2019-06-10 11:08:00,28.424,BAC Let it keep going up 300 on my calls from Friday
rod00,True,2019-06-10 11:04:00,28.421,BAC it keep going up Im thing between 285 to 2957
cazwiz,,2019-06-10 11:03:00,28.435,BAC my SL hit on the little pullback Grabbed a nice 213 today on my 2850 calls May jump back in later depending how it plays out Glta
cazwiz,,2019-06-10 10:23:00,28.344,BAC 2856 next resistance
ParkerCapitalManagement,True,2019-06-10 10:16:00,28.366,SPY JPM BAC XLF WFC Bond yields have dropped considerably but the most important yield curve spread between 2yr and 10yr has actually widened but a decent margin FED will keep econ expansion going and Trump is going to get his trade deal Markets gonna bounce back hard like in Dec New ATH otw
stocktowatch7,,2019-06-10 10:12:00,28.346,BAC here goes on stocksequitycomactivesto
fr4ggle,False,2019-06-10 09:50:00,28.182,BAC 282 cap out dropping to 275 or lower this week
cazwiz,,2019-06-10 09:44:00,28.254,BAC damn my 2860 calls exploded lol
Chartist0_0,,2019-06-10 09:43:00,28.269,BAC 45 year end target provided fed cuts rates
rod00,True,2019-06-10 09:43:00,28.269,BAC going up
TxLghns,True,2019-06-10 09:35:00,28.179,BAC YES Sir Keep it coming
