syniks,,2019-06-10 15:48:00,4.874,GPOR nice flush and shake out down 8 for the day on no news just added
SlickValue,True,2019-06-10 15:48:00,4.874,GPOR happily added to my LONG position
tsingyuan,,2019-06-10 15:42:00,4.861,GPOR what has happened
ageorgan,,2019-06-10 15:41:00,4.864,GPOR SWN AR RRC Lower 48 production of natural gas has been flat for 7 months now staticseekingalphacomupl
stockchancellor,,2019-06-10 15:31:00,4.935,GPOR sure doesnt seem like any buyback happening
Bottom_lover,,2019-06-10 15:26:00,4.944,GPOR RRC OAS AR NOT SEEING any sign of recovery by EOD Though power hour will save but this is soooo oversold and still ppl keep selling
stockbeep,,2019-06-10 15:05:00,4.949,Stocks breaking down in the past hour sharp move below 5day support DNR GPOR TXMD MTNB CLVS Realtime scan at stockbeepcomb
Esterostktrader,True,2019-06-10 14:31:00,4.965,GPOR was 6 a week ago
aa4fv,,2019-06-10 14:13:00,4.985,GPOR some fund must just keep unloading everyday
aa4fv,,2019-06-10 14:12:00,4.985,GPOR this thing was 730 one month agowth
cheemawork,,2019-06-10 14:09:00,4.995,GPOR Probably be 4 by the weekend
Esterostktrader,True,2019-06-10 14:07:00,4.995,GPOR sold 5 more Jan puts for 92
michaeltrades,False,2019-06-10 14:07:00,4.995,GPOR is this GPRO
Glopolon,,2019-06-10 14:06:00,5.004,GPOR Yeah pretty much pricing in bankruptcy around here
cnbc69,True,2019-06-10 14:05:00,4.999,GPOR shorts are in control We have hit the 5 psychological level Things arent well This is trading like we are on the verge of bankruptcy Cant figure it out
cheemawork,,2019-06-10 14:02:00,5.015,GPOR Thought this was tied to Gas price isnt NATGAS up a 1 today
Esterostktrader,True,2019-06-10 13:57:00,5.02,GPOR at 5 buyback right around 50 of OS
Esterostktrader,True,2019-06-10 13:57:00,5.02,GPOR hopefully company has about a million share bid waiting at 5
Bottom_lover,True,2019-06-10 13:55:00,5.032,GPOR seriously wanted to sell everything when it touched 6 i was almost even never expected it to hit 5 not even in my dream
cnbc69,True,2019-06-10 13:53:00,5.04,GPOR Is there an hope for its longs
Esterostktrader,True,2019-06-10 13:50:00,5.035,GPOR get your buy orders ready when the stops below 5 fire off Hopefully that will be the bottom Cant imagine anyone left to sell down here
Esterostktrader,True,2019-06-10 13:42:00,5.105,GPOR 5 flush might happen today Lets get it over with
HowlingCoyote,,2019-06-10 13:37:00,5.125,GPOR SWN all those in favor of banning high frequency trading hft please let your voice be heard by calling your governing officials
Esterostktrader,True,2019-06-10 13:27:00,5.135,GPOR preparation for flushing 5 in next few days Its to close to not expect a push below to trigger stop losses
Esterostktrader,True,2019-06-10 13:24:00,5.143,GPOR as frustrating as this stock price is Keep in mind its not management or company execution Whole sector in same boat
stockchancellor,,2019-06-10 13:14:00,5.155,GPOR market up another 150 and we are at another multi decade low
RemyLebeau,,2019-06-10 13:14:00,5.155,GPOR One of the worst buys Ive ever made Got in at 954 because I loved the numbers and its been straight over the cliff ever since Someone throw some reassurance my way Please
Bottom_lover,True,2019-06-10 13:07:00,5.171,GPOR AR RRC at least AR shows some strength Seriously thinking when this will end fking no stop unnecessary bleeding
stockchancellor,,2019-06-10 12:54:00,5.175,GPOR so with authorized buyback they could buy back more than half of the company at current levels
Esterostktrader,True,2019-06-10 12:23:00,5.225,GPOR sold 5 dec 5750 strangle for 110 Breakeven 3 freaking 90 Or hopefully it wil be called away at 750
Esterostktrader,True,2019-06-10 12:07:00,5.215,GPOR relative strength sick I will be sick when this inevitably breaks 5
kellysmith1,True,2019-06-10 11:59:00,5.245,GPOR when it runs it will run hard
cheemawork,,2019-06-10 11:56:00,5.245,GPOR trades like a bio stock unlimited downside
kellysmith1,True,2019-06-10 11:25:00,5.225,GPOR Relax and buy all you can in 2 weeks this will go ballistic
stockchancellor,,2019-06-10 10:59:00,5.241,now RRC which was down much more zooming up and this most undervalued crap still same spot and down GPOR Its the only gas i see down
stockchancellor,,2019-06-10 10:53:00,5.265,selling my BYND to add more GPOR
kellysmith1,True,2019-06-10 10:38:00,5.22,GPOR hop back in up soon and the shorts will freak out
Slacker666,,2019-06-10 10:37:00,5.22,GPOR got back in this one and a few other energy name Why do I keep chasing this crap The future is probably windmills and butterflies
kellysmith1,True,2019-06-10 10:20:00,5.211,GPOR whole sector is down folks relax
stockchancellor,,2019-06-10 10:19:00,5.212,SWN GPOR RRC what is todays excuse BTW these are the only ones down
EstimizeAlerts,,2019-06-10 10:09:00,5.175,GPOR estimates distribution heres what 11 Estimize analysts are expecting GPOR to report for Q2 Reporting 0731 AMCestimizecomintrogporcha
kellysmith1,True,2019-06-10 10:07:00,5.185,GPOR watch and learn
kellysmith1,True,2019-06-10 10:00:00,5.184,GPOR Relax will see swift recovery they are buying back tons of shares huge pop in next couple of weeks plus positive OPEC meeting coming
Esterostktrader,True,2019-06-10 09:52:00,5.215,GPOR company can buy back about 4849 of OS at this price Wtf
Bottom_lover,True,2019-06-10 09:45:00,5.231,GPOR seriously pathetic
