LetsMakeADollar,True,2019-06-10 15:55:00,3.004,TXMD I got in at 291 hoping to see 321 again
slayerfan2018,,2019-06-10 15:46:00,2.995,TXMD with that being said
Eggrod,True,2019-06-10 15:46:00,2.995,TXMD GREAT INVESTOR DAY SHORTS POUNDING TODAY WITH PRECISION STOP LOSSES OF IDIOTS TAKEN OUTNOW ITS TIME TO GO
21mark,True,2019-06-10 15:40:00,3.017,TXMD The projection for 4th Q revenue of FDA drugs is 11 to 13 million and that qualifies for the 50 million loan tranche 3 Seems that the 1113 mil is conservative so no problems with dilution
Rob37F,,2019-06-10 15:38:00,3.025,TXMD missed the CC Anyone care to summarize Bought a few at 3
Mjcobra18,,2019-06-10 15:35:00,3.025,TXMD good work to anyone who bought on that initial drop after cc
yft212,True,2019-06-10 15:13:00,3.005,AQMS Im not selling I know what I own I will continue to sleep at night Ditto with TXMD and NBEV
jimbeam1,True,2019-06-10 15:13:00,3.005,TXMD The large short position here is very smart but they dont have much time to cover They are still up HUGE but todays press was so manipulated it was an easy buy They will continue to cover as Rob has given the path now there will be no surprises His numbers are literally ZERO growth from here the rest of the year hardly any Annovera in Q4 even They will get a Million bucks for every 1000 units they selll thats AWESOME
lhk,,2019-06-10 15:05:00,2.964,TXMD everybody visualize Ophra becoming a board member or buying stock anybody have her phone
stockbeep,,2019-06-10 15:05:00,2.964,Stocks breaking down in the past hour sharp move below 5day support DNR GPOR TXMD MTNB CLVS Realtime scan at stockbeepcomb
trd4dollaBulls,,2019-06-10 15:01:00,2.955,TXMD WTF
STK1,,2019-06-10 15:01:00,2.955,TXMD Anyone who thinks the shorts do not know what they are doing are wrong they have made a boatload in this Hopefully they will get caught with they pants down shortly
Maddog64,True,2019-06-10 14:57:00,2.96,TXMD stupid shorts thanks
Facts1,True,2019-06-10 14:53:00,2.925,TXMD I staked out our position on this and it did not change I expected it to initially drop after the call and I bought it at the lows and I will continue buying Hopefully like the last few times I will be right again Time will tell I am not one of the sheep that will get sheared here But it is sad for those that will I can wait patiently when I need to GLTA
NutmegEuro,False,2019-06-10 14:48:00,2.945,TXMD line up for the grape KoolAid longs Rob says believe in me I will save your investment but first have a drink
slax,,2019-06-10 14:48:00,2.945,TXMD Is anyone else surprised at the relative lack of any significant questions asked at the end of presentation New intl announcement and no questions Those numbers of revenue I have to assume are solely based on US projections Factor in worldwide and its going to be unreal
ElBigCoonWalksLate,,2019-06-10 14:43:00,2.955,TXMD New lows soon What do ya meannew lows soon New lows were today The wisdom on this board is overwhelming this is why I come here to get my stock advice LOL The Finz What a great dude
StocksRup,,2019-06-10 14:43:00,2.955,TXMD On track to do 110k in Q2 of imvexxy Even at 35 script thats almost 4m Its fair to say their projections are very low
Eggrod,True,2019-06-10 14:41:00,2.955,TXMD SHORTS ARE THROWING THE KITCHEN SINK AT IT TODAY THE SQUEEZE IS STARTING
Eggrod,True,2019-06-10 14:41:00,2.955,TXMD Lol
humour,False,2019-06-10 14:40:00,2.955,TXMD what a pos New lows soon Next ER should be very interesting when vitamin business still makes more money while losing 40m per quarter
risenhoover,,2019-06-10 14:39:00,2.955,Also if you are new to TXMD heres some background for you httpsfinteliobtxmdtherapeuticsmdanalysisandresearchreport17588
risenhoover,,2019-06-10 14:39:00,2.955,TXMD TherapeuticsMD files form 8K httpsfinteliosustxmd Regulation FD Disclosure Financial Statements and Exhibits
Last10K,,2019-06-10 14:39:00,2.955,TXMD just filed a Regulated Disclosure and a Financial Exhibit last10kcomsecfilingstxmd
Eggrod,True,2019-06-10 14:39:00,2.955,TXMD WHAT A GREAT DAY FOR LONGS
Eggrod,True,2019-06-10 14:38:00,2.958,TXMD GREEN MOTHER FREAKING ORCHARDS
Eggrod,True,2019-06-10 14:38:00,2.958,TXMD i have to wait now and let this rise Im putting them in the vault now and moving on This one is officially on its way
Maddog64,True,2019-06-10 14:36:00,2.95,TXMD what an opportunity to buy
jimbeam1,,2019-06-10 14:35:00,2.962,TXMD Buy under 3 while you can shorty is buying as many shares as idiot retail will throw at them Aint gonna last Trust me
FortWorthJr,,2019-06-10 14:35:00,2.962,TXMD was it a bad callpresentation Busy at work
Eggrod,True,2019-06-10 14:33:00,2.928,TXMD im over extended and have 4000 shares now First time im underwater on them Average now 311
jimbeam1,True,2019-06-10 14:33:00,2.928,TXMD Calling a bottom here at 283 Call it the Jim Beam Mark Haines Bottom Im AllIn now Shorts have tons of room now to cover There is no downside from here Robs s were barebones Rev Numbers which are still decent given low adjudication 2020 Q3 tthrough Q2 2021 will be 200225 Million in Revenue 3 products all levers launched full coverageadjudication With 2025 annual growth for years to come Not a 3 stock no way this is a 10 stock by early 2020 Guaranteed by Jimbo
kingoftheworld,True,2019-06-10 14:32:00,2.93,TXMD clearly his projections are low balled they know their numbers and Rob is looking for any type of win
Eggrod,True,2019-06-10 14:32:00,2.93,TXMD bought 2500 at 288
Maddog64,True,2019-06-10 14:31:00,2.917,TXMD Wall Street Average price target is 1471
NotoriousDMD,,2019-06-10 14:30:00,2.895,TXMD well this definitely fucking sucks
livetraderalerts,,2019-06-10 14:30:00,2.895,TXMD 23m ago SEC 8K Current events report Regulation FD Disclosure Financial Statements and Exhibits secgovArchivesedgardata
Justice4,,2019-06-10 14:30:00,2.895,TXMD Shorts are dicks
