BusinessClass,,2019-03-27 15:54:00,0.5434,LTBR Stock could cruise into the CC at 1 penny Seth will say tremendous progress
Dbowlin,False,2019-03-27 15:51:00,0.5434,LTBR guessing were pumping the wrong way lets all go bearish since it always does the opposite we want
enterprising,True,2019-03-27 15:45:00,0.54,LTBR why does it always dip lol
ECerus,,2019-03-27 15:44:00,0.5432,LTBR THIS MAY NOT BE IT TRYING TO DECIPHER Weird timing of this
TwizzzU235,,2019-03-27 15:40:00,0.55,LTBR lol Were surprised
ECerus,,2019-03-27 15:35:00,0.55,LTBR NEED TO REREAD THIS DOE
ECerus,,2019-03-27 15:31:00,0.55,LTBR WELL THIS SUCKS httpswwwenergygovnearticlesusdepartmentenergyfurtheradvancesnuclearenergytechnologythroughindustryawards
Metallic,True,2019-03-27 15:27:00,0.548,LTBR Im stealing more and more shares everyday at this price Cant see how it goes to zero
Dbowlin,True,2019-03-27 15:07:00,0.5483,LTBR why we so bullish I see nothing yet
firemedic3087,True,2019-03-27 15:06:00,0.5483,LTBR
enterprising,True,2019-03-27 14:50:00,0.5562,IGC LTBR
Mpete,True,2019-03-27 14:50:00,0.5562,LTBR enterprising Yes
enterprising,True,2019-03-27 14:49:00,0.5577,LTBR come on Lets go
enterprising,True,2019-03-27 14:31:00,0.5562,LTBR I wanna see this board explode
tradeintherain,,2019-03-27 14:05:00,0.5451,LTBR FAAANGS and biotech are frothy and so cliche Where are all of those cattle going to run for the next cool thing
PakaMweusi,True,2019-03-27 14:02:00,0.5451,LTBR Pump coming at 300 Eastern with event
Mpete,True,2019-03-27 13:19:00,0.55,LTBR I really wish someone can break down the buyssells today THis is decent volume
warchest,True,2019-03-27 13:18:00,0.55,LTBR
ECerus,,2019-03-27 13:04:00,0.5562,LTBR Ok when Ed McGinnis says doubledown on nuclear energy is he specifically talking about Lightbridge Hey thats all I got
enterprising,True,2019-03-27 13:01:00,0.5562,LTBR Wtf is 5599 just go to 5 already
enterprising,True,2019-03-27 12:26:00,0.544,LTBR drop the news
enterprising,True,2019-03-27 12:25:00,0.544,LTBR nows the time
ECerus,,2019-03-27 11:58:00,0.5433,LTBR IF no voucher until after Fridays CC now that would be awkward Then DOE grant news yea or nay after CC Hurts my head
ECerus,,2019-03-27 11:54:00,0.5499,LTBR Hope Im wrong but with both GAIN director GAIN coordinator at Nuclear Week probably no voucher until theyre back home Guess
InsiderTradingg,,2019-03-27 10:40:00,0.558,LTBR I will send anybody 100 if the stock goes to 137 or beyond before it is delisted or a reverse stock split Anybody want that bet
Arpeggio,,2019-03-27 10:36:00,0.558,LTBR price at this point means little given low volume and Ataris Give me 500K volume and it means something
Arpeggio,,2019-03-27 10:29:00,0.558,LTBR I am holding through November regardless for those that care
AZona,True,2019-03-27 10:27:00,0.5596,LTBR 230 ET CEO to Participate on NDFP spotlights progress demonstration capabilities supply chain developmentZKIN TRIL ABIO
Dbowlin,,2019-03-27 10:05:00,0.5598,LTBR power week all time lows yay
ECerus,,2019-03-27 09:53:00,0.5528,LTBR Multimillion question will the GAIN voucher supplant the DOE grant application Dont know if tinyLTBR can be a GE Well see
