AlphaAlex,,2019-03-27 15:14:00,3.82,TRPX was this drop because of the 6k
investnet,,2019-03-27 12:54:00,3.927,TRPX Try this link for PBS special vimeocom318854892
investnet,,2019-03-27 12:53:00,3.927,TRPX Dr Ascher Shmulewitz Chariman of TRPX proposing companion diagnostics and personalized treatments as future of medicine
investnet,,2019-03-27 12:46:00,3.961,TRPX anyone watch the PBS special featuring TRPX thedoctorshowcommedicalm also therapixinvestorroomcomp
StocksBeforeThots,,2019-03-27 12:44:00,3.961,TRPX finally under 4 time to average down from 558 LOL
UnluckyDiggs,,2019-03-27 12:20:00,3.991,TRPX drop more and China explode so I can double down on this Marijuana the future no if ans or buts about it
FadeTheCrowds,,2019-03-27 11:42:00,3.98,TRPX 4 drugs still feel in play BO Worst case 48M value 15M debentures 22M clinics 443M7Ms fully diluted 632share val
FadeTheCrowds,,2019-03-27 11:29:00,4.047,TRPX seriously dude You sell your shares then post 4 straight bashing the company Have some ethics move on if youre out
Rentman247,,2019-03-27 11:21:00,4.011,TRPX Chairman has moved on to other ventures Only hope is Ambassador engineering BO
Rentman247,,2019-03-27 11:20:00,4.03,TRPX Trials were supposed to start in August 2018 Instead of following through they chose BO route Which failed
Rentman247,,2019-03-27 11:18:00,4.03,TRPX Our money went to a failed chain of pain clinics
Rentman247,,2019-03-27 11:17:00,4.03,TRPX This isnt even a company just an idea
Jmoney29,True,2019-03-27 11:14:00,4.03,TRPX I dont even care if this hits the ATL Ill average down Buy out easily 8
Rentman247,,2019-03-27 10:29:00,4.06,TRPX Dropping to 401 in a couple minutes Might be the last chance to load up in the 4s for a while
