MattyMcfly,,2019-03-27 14:32:00,0.8291,CANF
Guti,,2019-03-27 14:23:00,0.8151,CANF Meitav DS Investments increased their position by 53 on March 19 after knowing the study will continue on phase 3 owning now 66
jbucks,,2019-03-27 13:56:00,0.8076,CANF when is the reverse split
Turquoise,False,2019-03-27 13:55:00,0.8113,CANF this one is garbage cut losses
Guti,,2019-03-27 12:59:00,0.8493,CANF Dr Llovet is well know by the ASCO community and people will listen then of the importance of Namodenoson to help control the disease
Xpiro,True,2019-03-27 12:41:00,0.8494,CANF You must really hate money if you sell this position for loss
Xpiro,True,2019-03-27 12:39:00,0.8494,CANF EASL meeting in Vienna in a couple of days where all the pharma goes Guess what All the other drugs gave negative results in HCC
mmerryweather,,2019-03-27 11:54:00,0.8482,CANF I will need panic selling at 52 as I will be buying to cover my short position Sell me your stock at 52 and take the massive loss
mmerryweather,,2019-03-27 11:53:00,0.8482,CANF Break it Break this thing down to my cover price of 52 Sell sell sell I will need all of you to panic and sell at 52
mmerryweather,,2019-03-27 11:45:00,0.84,CANF 1145 AM 811 and going DOWN Yes Covering short at 52
mmerryweather,,2019-03-27 11:44:00,0.8257,CANF I need a laugh Can one of you post how good this company is and how great the future is Hello Nothing to say Dah and Dah
mmerryweather,,2019-03-27 11:42:00,0.8257,CANF YES 1143 AM and breaking to NEW LOWS I just love this Management is all CON
mmerryweather,,2019-03-27 11:20:00,0.8559,CANF Dr Lovel was paid to lie He would say anything for money and so would the rest of management I love this will cover at 52
mmerryweather,,2019-03-27 11:17:00,0.8503,CANF I am sure the Guti owns stock with a basis above 200 That must hurt Great the end is near Sell now and avoid a total loss
mmerryweather,,2019-03-27 11:15:00,0.8503,CANF Wow 815 new low and getting ready to just die As you know I am just loving this 78 and then 69 and then 52 where I cover
Guti,,2019-03-27 11:12:00,0.8589,CANF mmerryweather I think youre the con among other things by shorting the only drug that can prolong lives according to Dr LLovel
mmerryweather,,2019-03-27 11:09:00,0.8682,CANF There it is A new low on the move down YES and YES
mmerryweather,,2019-03-27 11:08:00,0.8682,CANF Please just one of you should be able to post more of the same crap Nothing But you all knew everything Dah and Dah and Dah
mmerryweather,,2019-03-27 11:06:00,0.8682,CANF Management will start to take money for stupid reasons very soon A few will end up in jail Watch for new lows within days
mmerryweather,,2019-03-27 11:03:00,0.8575,CANF Where are all the morons that had LOTS to say BEFORE the news yesterday Well where are all of you with your wisdom Dah and Dah
mmerryweather,,2019-03-27 11:01:00,0.8575,CANF No one will every listen to them again after screwing the last 4 institutional investors They are done no more money to go forward
mmerryweather,,2019-03-27 10:59:00,0.8219,CANF Getting ready to break to NEW LOWS I love it Getting ready to cover my 113000 share short at 52 Management TOTAL CON
only1de,True,2019-03-27 10:25:00,0.89,CANF remember all this indication isnt even their main drug RA and Psoriasis is If this works in Nash its icing on the cake Patience
