Otorino,True,2019-03-27 15:59:00,1.13,BIOC TOMORROW
Oryegrg12,,2019-03-27 15:58:00,1.13,BIOC gotta luv this set up same as the last
ayayron,True,2019-03-27 15:57:00,1.13,BIOC bears are like democrats wanting everything to crumble to ruins
Michael02018,True,2019-03-27 15:54:00,1.136,BIOC Big probability that partnership be validated tomorrow TMO
SerialStockGains,True,2019-03-27 15:53:00,1.135,BIOC Banging the table on this one Mark this post
FehuTradr,True,2019-03-27 15:52:00,1.135,BIOC Nobody shorting a low float is so money SPY NBI CTRM RBZ SEED CRMD BPTH IMTE CHFS AVEO Shorts Im gonna be rish bish
JSM84,,2019-03-27 15:52:00,1.135,BIOC i love how say stop pumping when they use scare tactics The hypocrisy is real folks Someone has to hold the money somewhere
BdGtradeR,,2019-03-27 15:52:00,1.135,BIOC it seems not to much real stock fake offers shiw the money dude
faiysalmp,True,2019-03-27 15:51:00,1.149,BIOC looking lovely
GalTrader,,2019-03-27 15:50:00,1.15,BIOC Coming back Hope they drop news tomorrow
ck9,,2019-03-27 15:46:00,1.14,BIOC to cover in case they do NOT have any time limit or constraints other than that 55 yrs
ck9,,2019-03-27 15:46:00,1.14,BIOC they play little since they r covered w those shares but its not their intention to do this permanently yes warrants could b used
drknmstr,,2019-03-27 15:46:00,1.14,BIOC take that resistance at 114 at least and im a happy man
Nate_Tun,True,2019-03-27 15:45:00,1.138,BIOC TMO Do the math
ck9,,2019-03-27 15:43:00,1.13,BIOC Ive seen the estimate going up as much as 65 on yoy big boys know something here just wait n see It should be good
ck9,,2019-03-27 15:42:00,1.132,BIOC so anything under 125 is cheap for them retails go w big boys here they r likely looking at the EPS on the ER Thursday
ck9,,2019-03-27 15:41:00,1.135,BIOC we know 6 mil shares sold at 125 and equal amount warrants can be converted at 125 They paid 82 mil for them two wks ago
Gok_trader,True,2019-03-27 15:39:00,1.134,BIOC time to go
blueskydriving,True,2019-03-27 15:39:00,1.134,BIOC My guess is we have 1015 downside exposure with as much as 40 upside in the next 24 hours so lets ride
