NIO,2019-02-06 11:50:00,8.386,7.945,True,0,-0.441,-5.25876,5,0,8.149,7.917,8.268,NIO so much resistance at 815 Dont sell let this baby move up
SPI,2019-01-23 12:20:00,2.788,1.04,,-1,-1.748,-62.69727,1,4,3.344,1.11,1.248,mbarelorenzo check out SPI
NBEV,2019-01-18 11:37:00,6.43,6.797,,-1,0.367,5.70762,1,0,6.56,6.625,6.674,NBEV exclude CBD from the WEED sector If you intend to invest in WEED sector this is the wrong place to place your bids
NBEV,2019-01-18 10:14:00,6.43,6.797,,-1,0.367,5.70762,2,3,6.673,6.625,6.674,NBEV seems like all that hype about CBD is fading away Is CBD excluded from the WEED stocks already It looks like its headed that way
NBEV,2018-12-11 10:36:00,6.43,6.797,,-1,0.367,5.70762,0,0,6.622,6.625,6.674,NBEV news our yet
HLIT,2018-12-04 15:19:00,5.488,5.8,,-1,0.312,5.68513,0,8,5.48,5.733,5.65,dennismccain Nelsin what do you think about 350 support level for HLIT
OKTA,2018-11-19 13:37:00,48.659,57.102,,-1,8.443,17.35136,0,0,49.541,54.033,52.36,OKTA why is this down so low
NIO,2018-11-19 12:43:00,7.816,7.36,True,0,-0.456,-5.83419,0,1,7.913,7.709,7.938,NIO why is this up today
NBEV,2018-11-15 14:16:00,3.863,3.55,True,0,-0.313,-8.10251,0,0,4.096,3.436,3.509,NBEV
NBEV,2018-11-15 13:28:00,3.863,3.55,,-1,-0.313,-8.10251,2,0,3.87,3.436,3.509,NBEV keep this going folks No day trading here Only long At least a short while Im sure youll change your mind
NBEV,2018-11-15 12:56:00,3.863,3.55,True,0,-0.313,-8.10251,3,2,3.922,3.436,3.509,NBEV if it wasnt for the day traders this would have gone only higher and higher and higher
NBEV,2018-11-15 10:43:00,3.863,3.55,True,0,-0.313,-8.10251,1,0,3.56,3.436,3.509,NBEV here we go again Lets keep this up
NBEV,2018-11-14 13:31:00,3.863,3.55,,-1,-0.313,-8.10251,2,34,3.869,3.436,3.509,NBEV I wonder how many of you typing with shaky hands expressing how bullish you are on this
NBEV,2018-11-14 12:41:00,3.863,3.55,,-1,-0.313,-8.10251,3,21,3.859,3.436,3.509,NBEV hows the ride to the moon so far
